iter	Passed	Remaining
582	11557	8266
583	11577	8246
584	11597	8227
585	11617	8207
586	11635	8186
587	11653	8165
588	11674	8146
589	11695	8127
590	11714	8106
591	11731	8085
592	11749	8064
593	11768	8043
594	11787	8023
595	11805	8002
596	11825	7982
597	11845	7962
598	11863	7942
599	11885	7923
600	11906	7904
601	11928	7886
602	11947	7865
603	11964	7844
604	11982	7823
605	12002	7803
606	12020	7782
607	12040	7763
608	12060	7743
609	12078	7722
610	12100	7703
611	12122	7685
612	12143	7666
613	12162	7646
614	12183	7627
615	12208	7610
616	12239	7597
617	12262	7579
618	12284	7560
619	12306	7542
620	12327	7523
621	12348	7504
622	12367	7483
623	12387	7464
624	12407	7444
625	12424	7423
626	12444	7403
627	12472	7388
628	12490	7367
629	12509	7346
630	12531	7328
631	12555	7310
632	12576	7291
633	12594	7270
634	12614	7250
635	12631	7229
636	12650	7209
637	12669	7188
638	12688	7168
639	12707	7147
640	12728	7128
641	12753	7111
642	12771	7090
643	12791	7071
644	12809	7050
645	12828	7029
646	12845	7008
647	12872	6992
648	12902	6978
649	12931	6963
650	12954	6945
651	12977	6926
652	12996	6906
653	13017	6886
654	13038	6867
655	13057	6847
656	13079	6828
657	13098	6807
658	13116	6787
659	13134	6766
660	13156	6747
661	13176	6727
662	13199	6709
663	13217	6688
664	13237	6668
665	13255	6647
666	13272	6626
667	13290	6605
668	13309	6584
669	13329	6565
670	13348	6545
671	13371	6526
672	13394	6508
673	13413	6487
674	13433	6467
675	13452	6447
676	13473	6428
677	13490	6406
678	13507	6385
679	13528	6366
680	13555	6350
681	13587	6335
682	13606	6315
683	13623	6293
684	13642	6273
685	13661	6253
686	13678	6231
687	13697	6211
688	13716	6191
689	13734	6170
690	13752	6149
691	13769	6128
692	13790	6109
693	13809	6089
694	13829	6069
695	13850	6049
696	13871	6030
697	13895	6011
698	13918	5993
699	13939	5973
700	13959	5954
701	13978	5933
702	13999	5914
703	14019	5894
704	14038	5874
705	14059	5854
706	14077	5834
707	14097	5814
708	14116	5793
709	14134	5773
710	14152	5752
711	14172	5732
712	14191	5712
713	14214	5693
714	14231	5672
715	14250	5652
716	14269	5632
717	14287	5611
718	14308	5591
719	14326	5571
720	14345	5551
721	14364	5530
722	14382	5510
723	14403	5490
724	14424	5471
725	14446	5452
726	14465	5431
727	14482	5410
728	14503	5391
729	14521	5370
730	14541	5351
731	14561	5331
732	14580	5310
733	14598	5290
734	14619	5271
735	14639	5251
736	14661	5231
737	14678	5211
738	14698	5191
739	14720	5172
740	14738	5151
741	14758	5131
742	14777	5111
743	14797	5091
744	14817	5071
745	14838	5052
746	14862	5033
747	14885	5014
748	14906	4995
749	14927	4975
750	14946	4955
751	14965	4935
752	14982	4914
753	15001	4894
754	15019	4873
755	15039	4853
756	15061	4834
757	15082	4815
758	15101	4794
759	15120	4774
760	15140	4755
761	15158	4734
762	15179	4714
763	15197	4694
764	15218	4675
765	15236	4654
766	15255	4634
767	15275	4614
768	15296	4594
769	15316	4575
770	15337	4555
771	15358	4536
772	15381	4516
773	15401	4496
774	15420	4476
775	15440	4457
776	15460	4437
777	15480	4417
778	15518	4402
779	15536	4382
780	15554	4361
781	15572	4341
782	15592	4321
783	15612	4301
784	15631	4281
785	15650	4261
786	15668	4240
787	15691	4221
788	15711	4201
789	15732	4182
790	15751	4161
791	15770	4141
792	15787	4121
793	15805	4100
794	15825	4080
795	15844	4060
796	15864	4040
797	15888	4021
798	15914	4003
799	15934	3983
800	15952	3963
801	15970	3942
802	15990	3923
803	16010	3903
804	16029	3882
805	16048	3862
806	16066	3842
807	16083	3821
808	16102	3801
809	16125	3782
810	16145	3762
811	16166	3743
812	16186	3723
813	16206	3703
814	16227	3683
815	16246	3663
816	16265	3643
817	16284	3623
818	16304	3603
819	16324	3583
820	16346	3564
821	16367	3544
822	16385	3523
823	16405	3504
824	16423	3483
825	16443	3463
826	16462	3443
827	16480	3423
828	16498	3403
829	16518	3383
830	16536	3363
831	16559	3343
832	16579	3323
833	16597	3303
834	16619	3284
835	16636	3263
836	16656	3243
837	16677	3224
838	16695	3203
839	16712	3183
840	16732	3163
841	16751	3143
842	16772	3123
843	16791	3103
844	16810	3083
845	16829	3063
846	16849	3043
847	16872	3024
848	16891	3004
849	16910	2984
850	16931	2964
851	16950	2944
852	16972	2924
853	16992	2905
854	17012	2885
855	17033	2865
856	17051	2845
857	17070	2825
858	17089	2805
859	17107	2785
860	17127	2765
861	17146	2745
862	17167	2725
863	17186	2705
864	17207	2685
865	17227	2665
866	17244	2645
867	17266	2625
868	17287	2606
869	17309	2586
870	17328	2566
871	17349	2546
872	17366	2526
873	17387	2506
874	17405	2486
875	17426	2466
876	17446	2446
877	17466	2427
878	17486	2407
879	17505	2387
